freeze_class,freeze_status,factor_name,family,tier,priority,in_frozen_factor_dictionary,min_window_mean_nonmissing,min_window_min_nonmissing,min_varying_job_share,max_range_violation_count,median_monthly_std,median_monthly_iqr,median_temporal_spearman,redundant_with,screening_status,screening_reason,economic_meaning,allowed_for_day6_primary_validation,allowed_for_day6_robustness,selection_used_future_outcome
CORE,FROZEN,delta_residual_degree_percentile_1m,dynamic,core,110,True,1.0,1.0,1.0,0,0.1297270717910888,0.1179340677335858,-0.0111995761016315,,KEEP_CORE,,Adjacent-period change in residual degree percentile.,True,True,False
EXCLUDED,FROZEN,delta_residual_strength_percentile_1m,dynamic,auxiliary,120,True,1.0,1.0,1.0,0,0.1275601082423051,0.1145937629044056,0.0027043204755636,delta_residual_degree_percentile_1m,REVIEW_REDUNDANCY,highly correlated with: delta_residual_degree_percentile_1m,Adjacent-period change in residual strength percentile.,False,False,False
AUXILIARY,FROZEN,delta_same_industry_degree_percentile_1m,dynamic_industry,auxiliary,130,False,1.0,1.0,1.0,0,0.1228345529979365,0.0700859129489374,-0.0710157949217343,,KEEP_AUXILIARY,,Change in same-industry degree percentile.,False,True,False
CORE,FROZEN,delta_cross_industry_degree_percentile_1m,dynamic_industry,core,140,False,1.0,1.0,1.0,0,0.146638068879188,0.1377683705637632,-0.062665447867149,,KEEP_CORE,,Change in cross-industry degree percentile.,True,True,False
AUXILIARY,FROZEN,delta_cross_industry_degree_ratio_1m,dynamic_industry,auxiliary,150,False,0.8893052019702977,0.571810287241149,1.0,0,0.1505602233675069,0.0905818849386257,-0.137031267539181,,KEEP_AUXILIARY,,Change in cross-industry degree share.,False,True,False
CORE,FROZEN,neighbor_jaccard_1m,dynamic_neighbor,core,160,True,1.0,1.0,1.0,0,0.2295081755501351,0.3302738927738928,0.4554559990127281,,KEEP_CORE,,Common-node-conditioned adjacent-period neighbor Jaccard.,True,True,False
CORE,FROZEN,neighbor_retention_1m,dynamic_neighbor,core,170,True,1.0,1.0,1.0,0,0.2545175723303164,0.4024778719441283,0.2495915358012961,,KEEP_CORE,,Fraction of previous neighbors retained.,True,True,False
AUXILIARY,FROZEN,new_neighbor_count_1m,dynamic_neighbor,auxiliary,180,False,1.0,1.0,1.0,0,15.517678397294834,13.0,0.5976520495393427,,KEEP_AUXILIARY,,Number of newly formed common-node-conditioned links.,False,True,False
AUXILIARY,FROZEN,lost_neighbor_count_1m,dynamic_neighbor,auxiliary,190,False,1.0,1.0,1.0,0,16.07855184664282,13.0,0.5916774470361087,,KEEP_AUXILIARY,,Number of lost common-node-conditioned links.,False,True,False
EXCLUDED,FROZEN,within_community_degree_percentile,community,auxiliary,200,False,1.0,1.0,1.0,0,0.2885171036704338,0.5029823118058412,0.8846011363536339,residual_strength_percentile|residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: residual_strength_percentile|residual_degree_percentile,Within-community degree percentile.,False,False,False
EXCLUDED,FROZEN,within_community_strength_percentile,community,auxiliary,210,False,1.0,1.0,1.0,0,0.2886733649105003,0.499875868917577,0.8885047112689692,within_community_degree_percentile|residual_strength_percentile|residual_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: within_community_degree_percentile|residual_strength_percentile|residual_degree_percentile,Within-community strength percentile.,False,False,False
CORE,FROZEN,outside_community_degree_percentile,community,core,220,False,1.0,1.0,1.0,0,0.2874361398965063,0.4984095009955201,0.7074971219233603,,KEEP_CORE,,Outside-community degree percentile.,True,True,False
EXCLUDED,FROZEN,outside_community_strength_percentile,community,auxiliary,230,False,1.0,1.0,1.0,0,0.2883091195121924,0.4998766954377311,0.7143057461427607,outside_community_degree_percentile,REVIEW_REDUNDANCY,highly correlated with: outside_community_degree_percentile,Outside-community strength percentile.,False,False,False
AUXILIARY,FROZEN,outside_community_degree_ratio,community,auxiliary,240,False,1.0,1.0,1.0,0,0.2019695963509572,0.330188679245283,0.5219003160291033,,KEEP_AUXILIARY,,Share of residual degree outside own community.,False,True,False
EXCLUDED,FROZEN,participation_coefficient_percentile,community_bridge,core,250,False,1.0,1.0,1.0,0,0.2883717863310326,0.4999501197126895,0.5476562948082844,outside_community_degree_ratio,REVIEW_REDUNDANCY,highly correlated with: outside_community_degree_ratio,Cross-sectional percentile of participation coefficient.,False,False,False
EXCLUDED,FROZEN,weighted_participation_coefficient_percentile,community_bridge,auxiliary,260,False,1.0,1.0,1.0,0,0.2883767023839954,0.4998783267183572,0.5533691164123363,participation_coefficient_percentile|outside_community_degree_ratio,REVIEW_REDUNDANCY,highly correlated with: participation_coefficient_percentile|outside_community_degree_ratio,Weighted participation coefficient percentile.,False,False,False
AUXILIARY,FROZEN,external_community_count,community_bridge,auxiliary,270,False,1.0,1.0,1.0,0,1.4223710721504783,2.0,0.5731523530772624,,KEEP_AUXILIARY,,Number of distinct external communities reached.,False,True,False
EXCLUDED,FROZEN,community_diversity_count,community_bridge,auxiliary,280,False,1.0,1.0,1.0,0,1.4554629409015296,2.0,0.5802929232527001,external_community_count,REVIEW_REDUNDANCY,highly correlated with: external_community_count,Number of distinct neighbor communities.,False,False,False
EXCLUDED,FROZEN,neighbor_turnover_1m,dynamic_neighbor,auxiliary,999,False,1.0,1.0,1.0,0,0.2295081755501351,0.3302738927738927,0.4554559990127281,neighbor_jaccard_1m,DROP_ALGEBRAIC_REDUNDANCY,neighbor_turnover_1m = 1 - neighbor_jaccard_1m,1 minus neighbor Jaccard; algebraically redundant.,False,False,False
