window_prev,window_curr,date_prev,date_curr,regime_prev,regime_curr,transition_type,industry_a,industry_b,industry_pair,relation,possible_pairs,transition_energy,transition_intensity,energy_share,persistent,lost,gained,energy_rank
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,电子,电子,电子 - 电子,Same,6,0.002758188392123605,0.05251845763275617,0.2993565219701415,6,0,0,1
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,电子,非银金融,电子 - 非银金融,Cross,8,0.0009309955996563478,0.03051222049698035,0.10104444115510619,4,0,0,4
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0006757073785379839,0.025994372055081153,0.07333705387431994,3,0,1,5
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,银行,银行,银行 - 银行,Same,6,0.0003956199585054904,0.0198901975481766,0.042938116605222794,5,0,1,7
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,银行,非银金融,银行 - 非银金融,Cross,8,0.0010563206231775104,0.03250108649226223,0.11464643558893677,5,2,0,3
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,银行,食品饮料,银行 - 食品饮料,Cross,16,0.0003010842639956007,0.017351779850943265,0.03267780342599012,6,0,0,10
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,非银金融,非银金融,非银金融 - 非银金融,Same,1,6.313788043210827e-06,0.002512725222385215,0.0006852590760187483,1,0,0,12
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.0005219423201817181,0.022846056994188693,0.05664835588635278,6,1,0,6
3,4,2024-03-20,2024-04-19,R1,R1,Within R1,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0003050015322450348,0.01746429306456562,0.03310295922829984,6,0,0,9
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,新能源,电子,新能源 - 电子,Cross,4,0.0015358286037283383,0.03918964919118744,0.025475437919961885,3,0,1,7
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,新能源,银行,新能源 - 银行,Cross,4,0.001068325881596281,0.03268525480390631,0.017720772753434578,1,0,1,8
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,新能源,非银金融,新能源 - 非银金融,Cross,2,0.00209138714056766,0.04573168639540488,0.034690722087607484,2,0,0,6
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.00028467518241942496,0.01687232000702408,0.004722027522781233,1,0,1,12
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,电子,电子,电子 - 电子,Same,6,0.0025129121309671624,0.05012895501571085,0.04168273519282408,6,0,0,5
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,电子,非银金融,电子 - 非银金融,Cross,8,0.00418497292359072,0.06469136668513596,0.06941791398652383,4,0,1,4
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0006931061811394134,0.026326909828907254,0.011496845055948859,4,0,2,11
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,银行,银行,银行 - 银行,Same,6,0.0009797002558936457,0.031300163831738094,0.01625070205659748,5,1,0,9
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,银行,非银金融,银行 - 非银金融,Cross,8,0.03346370190224126,0.18293086645572218,0.5550765614816291,4,1,0,1
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,银行,食品饮料,银行 - 食品饮料,Cross,16,0.005917987530284945,0.07692845722023121,0.09816415944649909,6,0,0,3
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,非银金融,非银金融,非银金融 - 非银金融,Same,1,0.00012965462561265767,0.011386598509329188,0.0021506360526251833,1,0,0,13
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.0064708552356871835,0.08044162626207393,0.10733480965625246,6,0,0,2
4,5,2024-04-19,2024-05-22,R1,R1,Within R1,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0009535343298985794,0.030879351189728378,0.01581667678731454,6,0,0,10
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,新能源,电子,新能源 - 电子,Cross,4,0.0002858809343140162,0.01690801390802646,0.023708339422118935,4,0,0,8
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,新能源,银行,新能源 - 银行,Cross,4,8.06320078072584e-05,0.008979532716531435,0.006686878276680172,1,1,0,12
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,新能源,非银金融,新能源 - 非银金融,Cross,2,0.0015292864808749587,0.03910609263113561,0.12682497715085897,1,1,0,3
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.00014900409423653147,0.012206723321044492,0.012357031258211769,2,0,0,10
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,电子,电子,电子 - 电子,Same,6,0.0045953442164507075,0.06778896825037764,0.3810956498603518,6,0,0,1
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,电子,非银金融,电子 - 非银金融,Cross,8,0.0026514680495487958,0.051492407688403886,0.21988841136414503,4,1,0,2
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0005525646986600109,0.023506694762556707,0.045824641856398604,4,2,0,5
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,银行,银行,银行 - 银行,Same,6,9.841000688797706e-05,0.00992018179712333,0.008161222263498224,5,0,0,11
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,银行,非银金融,银行 - 非银金融,Cross,8,0.000239494356163902,0.01547560519540034,0.0198614626023952,4,0,0,9
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,银行,食品饮料,银行 - 食品饮料,Cross,16,0.00044345613827845114,0.021058398283783388,0.03677617981190488,6,0,1,7
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,非银金融,非银金融,非银金融 - 非银金融,Same,1,5.045515082097111e-06,0.0022462224026345012,0.00041842868749821985,1,0,0,13
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.0005358648030669785,0.0231487538123973,0.04443970587252964,6,0,0,6
5,6,2024-05-22,2024-06-20,R1,R1,Within R1,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0008917923918707317,0.029862893226724228,0.07395707157340856,6,0,0,4
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,新能源,电子,新能源 - 电子,Cross,4,0.0019419202492331584,0.044067224206128054,0.10121222807110641,4,0,0,4
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,新能源,银行,新能源 - 银行,Cross,4,0.0007829054202062292,0.0279804471051881,0.040804766302482844,1,0,0,8
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,新能源,非银金融,新能源 - 非银金融,Cross,2,1.2886108759781503e-06,0.001135169976689901,6.716196400233808e-05,1,0,0,13
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,新能源,食品饮料,新能源 - 食品饮料,Cross,4,3.887826286427875e-05,0.006235243609056406,0.0020263219406572827,2,0,0,12
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,电子,电子,电子 - 电子,Same,6,0.00582405618992082,0.07631550425648002,0.3035478432371145,6,0,0,1
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,电子,非银金融,电子 - 非银金融,Cross,8,0.0026853232897009935,0.051820105072268946,0.1399581436720671,4,0,0,2
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,电子,食品饮料,电子 - 食品饮料,Cross,16,0.002044660623714455,0.04521792369972835,0.1065670217183832,4,0,1,3
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,银行,银行,银行 - 银行,Same,6,0.0015696682584039165,0.03961903908986078,0.08181057992895917,5,0,0,6
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,银行,非银金融,银行 - 非银金融,Cross,8,0.0007686294050648348,0.027724166444905694,0.04006070521088655,4,0,0,9
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,银行,食品饮料,银行 - 食品饮料,Cross,16,0.0010117263259798166,0.03180764571576804,0.052730834693673935,5,2,0,7
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,非银金融,非银金融,非银金融 - 非银金融,Same,1,0.00012168763074126518,0.011031211662426987,0.006342318249619708,1,0,0,11
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.0006398636883620897,0.025295527042583827,0.03334947950952,6,0,1,10
6,7,2024-06-20,2024-07-18,R1,R1,Within R1,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0017560089808706459,0.041904760837769325,0.09152259550152705,6,0,0,5
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,新能源,电子,新能源 - 电子,Cross,4,0.0006658320888767616,0.025803722384120504,0.03377331787814366,4,0,0,10
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,新能源,银行,新能源 - 银行,Cross,4,0.0012319177219444182,0.03509868547316863,0.06248714881425344,0,1,2,8
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,新能源,非银金融,新能源 - 非银金融,Cross,2,0.001814698154586089,0.042599274108675714,0.09204779801332237,1,0,0,6
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,新能源,食品饮料,新能源 - 食品饮料,Cross,4,6.155351119247739e-06,0.0024809980087149887,0.0003122208038255405,2,0,0,13
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,电子,电子,电子 - 电子,Same,6,0.0032007777236161094,0.0565754162478378,0.16235457155471553,6,0,0,2
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,电子,银行,电子 - 银行,Cross,16,0.0,0.0,0.0,0,0,0,14
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,电子,非银金融,电子 - 非银金融,Cross,8,0.0019980128692154557,0.044699137231220196,0.10134615751318227,4,0,1,5
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0012722919928495812,0.035669202301839904,0.06453507216934236,5,0,2,7
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,银行,银行,银行 - 银行,Same,6,0.0006653040127757547,0.025793487797809638,0.033746532022788975,4,1,0,11
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,银行,非银金融,银行 - 非银金融,Cross,8,0.003378022319372799,0.05812075635582179,0.17134503352655017,3,1,0,1
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,银行,食品饮料,银行 - 食品饮料,Cross,16,0.0007044527321374405,0.026541528443882814,0.035732291143763355,5,0,0,9
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,非银金融,非银金融,非银金融 - 非银金融,Same,1,0.0001828946995613783,0.01352385668222561,0.009277054875703504,1,0,0,12
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.00202488794154761,0.04499875488885898,0.10270935459550243,7,0,0,4
7,8,2024-07-18,2024-08-15,R1,R2,R1→R2 Boundary,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0025694896675187207,0.05069013382817923,0.13033344708890637,6,0,0,3
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,新能源,电子,新能源 - 电子,Cross,4,0.0028998049486867322,0.05384983703491341,0.0956712248096184,3,1,0,5
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,新能源,银行,新能源 - 银行,Cross,4,0.003225942824582658,0.05679738395896996,0.10643126232796989,2,0,0,4
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,新能源,非银金融,新能源 - 非银金融,Cross,2,0.0002562319898334684,0.016007248040605493,0.008453681794658484,1,0,0,13
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.0005890298730937328,0.0242699376409115,0.019433448251011787,2,0,1,11
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,电子,电子,电子 - 电子,Same,6,0.001296468313457511,0.036006503766090804,0.04277346706767756,6,0,0,8
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,电子,银行,电子 - 银行,Cross,16,0.0004562545095766055,0.021360114924236843,0.01505288408307396,0,0,2,12
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,电子,非银金融,电子 - 非银金融,Cross,8,0.006149573058470564,0.07841921357977624,0.202888538012378,5,0,1,1
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0010800843880572233,0.032864637348633916,0.03563446443181612,4,3,1,9
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,银行,银行,银行 - 银行,Same,6,0.0020276424311070117,0.04502935077376768,0.06689658038821308,4,0,0,6
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,银行,非银金融,银行 - 非银金融,Cross,8,0.0041943876616142,0.06476409237852562,0.13838248158543043,3,0,0,3
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,银行,食品饮料,银行 - 食品饮料,Cross,16,0.005222237696877429,0.07226505169774274,0.1722936147596727,5,0,0,2
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,非银金融,非银金融,非银金融 - 非银金融,Same,1,6.363576414697459e-06,0.002522613013265701,0.00020994900020410867,1,0,0,14
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.0019650401503393342,0.04432877339087259,0.06483118737630318,6,1,1,7
8,9,2024-08-15,2024-09-12,R2,R2,Within R2,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0009410444060228261,0.03067644708930332,0.03104721611197226,6,0,0,10
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,新能源,电子,新能源 - 电子,Cross,4,0.005807864204580678,0.07620934460143768,0.07272400674059601,3,0,1,5
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,新能源,银行,新能源 - 银行,Cross,4,0.002310219835322043,0.04806474628375815,0.02892774985057504,1,1,1,8
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,新能源,非银金融,新能源 - 非银金融,Cross,2,0.00012848755462225447,0.01133523509338269,0.0016088753902100176,1,0,0,14
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.0027145418451967407,0.05210126529362546,0.033990526033996805,3,0,0,7
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,电子,电子,电子 - 电子,Same,6,0.0035130166223230493,0.05927070627487958,0.04398874276711721,6,0,0,6
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,电子,银行,电子 - 银行,Cross,16,0.001706347312701824,0.0413079570143795,0.021366273228780607,2,0,0,11
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,电子,非银金融,电子 - 非银金融,Cross,8,0.01894660664134016,0.1376466731938704,0.23724265935996067,4,2,0,1
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0017139769190683421,0.04140020433606991,0.021461808441947117,5,0,2,10
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,银行,银行,银行 - 银行,Same,6,0.0015282470135770056,0.03909280002221644,0.019136164724549386,4,0,0,13
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,银行,非银金融,银行 - 非银金融,Cross,8,0.0020207920475912794,0.044953220658716764,0.025303638190173797,2,1,0,9
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,银行,食品饮料,银行 - 食品饮料,Cross,16,0.0016326952369242057,0.04040662367637521,0.02044402817162416,4,1,1,12
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,非银金融,非银金融,非银金融 - 非银金融,Same,1,0.009200705487797606,0.0959203080051227,0.11520795671928782,1,0,0,4
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.010666526774939821,0.1032788786487335,0.1335624487341947,7,0,1,3
9,10,2024-09-12,2024-10-21,R2,R2,Within R2,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.0179716916925235,0.13405853830518777,0.2250351216469866,6,0,0,2
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,新能源,电子,新能源 - 电子,Cross,4,0.0043128575205219535,0.06567234974113499,0.19308022623154336,4,0,0,2
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,新能源,银行,新能源 - 银行,Cross,4,0.00044452070994344914,0.02108365978532781,0.019900532032901538,1,1,0,9
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,新能源,非银金融,新能源 - 非银金融,Cross,2,0.005003338468242096,0.07073428071481391,0.2239920328377215,1,0,0,1
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.0005025190947885326,0.02241693767642076,0.022497033589854797,3,0,0,8
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,电子,电子,电子 - 电子,Same,6,0.003068666766384714,0.055395548254211856,0.13737965389848386,6,0,0,4
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,电子,银行,电子 - 银行,Cross,16,0.00017424644289226442,0.013200244046693396,0.007800754477418601,2,0,0,11
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,电子,非银金融,电子 - 非银金融,Cross,8,0.003122083187144825,0.05587560457968061,0.1397710277279614,4,0,1,3
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,电子,食品饮料,电子 - 食品饮料,Cross,16,0.002733345560205348,0.052281407404596025,0.12236782147849924,7,0,1,5
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,银行,银行,银行 - 银行,Same,6,0.00019076276976572124,0.01381168960575502,0.008540165903385492,4,0,0,10
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,银行,非银金融,银行 - 非银金融,Cross,8,7.138816440909084e-05,0.008449151697602004,0.0031959421030662146,2,0,0,12
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,银行,食品饮料,银行 - 食品饮料,Cross,16,3.463010110188222e-05,0.005884734582110074,0.001550338197669798,5,0,0,13
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,非银金融,非银金融,非银金融 - 非银金融,Same,1,3.1312540792927984e-05,0.005595760966385893,0.001401815949498671,1,0,0,14
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.0008887721646336084,0.029812282110459245,0.039789009907980365,8,0,0,7
10,11,2024-10-21,2024-11-18,R2,R2,Within R2,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,0.00175868343666092,0.041936659817645466,0.0787336456640152,6,0,0,6
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,新能源,电子,新能源 - 电子,Cross,4,0.0014663818116291238,0.038293365112368014,0.36331344488500694,4,0,0,1
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,新能源,银行,新能源 - 银行,Cross,4,4.00141230900594e-06,0.0020003530460910995,0.0009913972465159734,1,0,0,13
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,新能源,非银金融,新能源 - 非银金融,Cross,2,2.0158624421196836e-05,0.004489835678640905,0.0049945377285274236,1,0,0,12
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,新能源,食品饮料,新能源 - 食品饮料,Cross,4,0.0003632410546217295,0.01905888387660016,0.08999726935488024,3,0,0,5
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,电子,电子,电子 - 电子,Same,6,0.0002521970921628339,0.015880714472681447,0.062484813721103975,6,0,0,6
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,电子,银行,电子 - 银行,Cross,16,3.561461841787899e-05,0.0059677984565398145,0.008823943125214664,1,1,0,11
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,电子,非银金融,电子 - 非银金融,Cross,8,0.0004371329685934493,0.020907725093693222,0.10830486537203675,5,0,0,4
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,电子,食品饮料,电子 - 食品饮料,Cross,16,0.0005957854246326338,0.02440871616108954,0.14761288862078778,8,0,0,2
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,银行,银行,银行 - 银行,Same,6,5.5038423326287426e-05,0.007418788534948777,0.013636420624651223,4,0,0,9
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,银行,非银金融,银行 - 非银金融,Cross,8,4.275609872263082e-05,0.006538814779654706,0.010593329372726333,2,0,0,10
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,银行,食品饮料,银行 - 食品饮料,Cross,16,0.00019397994975078097,0.013927668496585527,0.04806082783056327,4,1,0,7
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,非银金融,非银金融,非银金融 - 非银金融,Same,1,4.981178985097274e-09,7.057746797028974e-05,1.2341460336676686e-06,1,0,0,14
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,非银金融,食品饮料,非银金融 - 食品饮料,Cross,8,0.00047214098337154914,0.021728805382982958,0.11697851526782088,8,0,0,3
11,12,2024-11-18,2024-12-16,R2,R2,Within R2,食品饮料,食品饮料,食品饮料 - 食品饮料,Same,6,9.770073321547949e-05,0.009884368124239378,0.024206512704130906,6,0,0,8
