factor_name,method,window,canonical_mean_q1_turnover,canonical_mean_q5_turnover,canonical_roundtrip_traded_notional_ratio,mean_q1_drift_turnover,mean_q5_drift_turnover,mean_roundtrip_traded_notional_ratio,q1_turnover_difference,q5_turnover_difference,roundtrip_difference
delta_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.25513240485942545,0.2904619143779212,1.0911886384746934,0.2561846428387654,0.2917515140474651,1.095872313772461,-0.0010522379793399539,-0.001289599669543895,-0.004683675297767698
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.8437262343012326,0.8400087012925443,3.367469871187554,0.8449864151443602,0.8418655526256545,3.37370393554003,-0.001260180843127623,-0.0018568513331101988,-0.0062340643524758654
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.7896839634830045,0.7932777699042894,3.165923466774588,0.7912610535442288,0.7954200805137537,3.173362268115965,-0.0015770900612243066,-0.0021423106094642375,-0.007438801341376866
delta_residual_degree_percentile_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.7636179327972935,0.7649862523136115,3.05720837022181,0.7668480500388247,0.7688497158047158,3.071395531687081,-0.0032301172415312163,-0.0038634634911043353,-0.014187161465271103
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.6820712341179654,0.6625129800303966,2.689168428296724,0.683291202529976,0.6643460133109628,2.6952744316818773,-0.0012199684120105525,-0.0018330332805661653,-0.006106003385153436
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.6403903124412763,0.6062987103096691,2.493378045501891,0.6408627462958647,0.6066677186226632,2.4950609298370563,-0.0004724338545883944,-0.0003690083129941346,-0.00168288433516528
neighbor_jaccard_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.6125752093595614,0.5994074484533729,2.4239653156258685,0.6129355395306761,0.600000027223613,2.425871133508578,-0.0003603301711146978,-0.0005925787702401042,-0.001905817882709382
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,60,0.7280302664714966,0.7306289207434848,2.917318374429963,0.7281015244231863,0.7312707618206393,2.918744572487651,-7.125795168971827e-05,-0.0006418410771544814,-0.0014261980576879552
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,120,0.7043084626817929,0.6964220645369217,2.8014610544374294,0.7048759133774012,0.6962075651117073,2.8021669569782164,-0.0005674506956082626,0.00021449942521434284,-0.0007059025407869512
neighbor_retention_1m,FULL_CHARACTERISTIC_NEUTRAL,252,0.6900778010383047,0.6704799562119143,2.721115514500438,0.6911193165301157,0.6725106197838869,2.727259872628005,-0.0010415154918109737,-0.0020306635719726795,-0.0061443581275670844
outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.6122654414751222,0.5713071745083456,2.3671452319669353,0.6173977054412126,0.5755289098194248,2.385853230521275,-0.005132263966090456,-0.004221735311079278,-0.01870799855433969
outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.494563601111824,0.4335455707233602,1.8562183436703683,0.5001170534597621,0.4387005953960983,1.8776352977117208,-0.0055534523479380815,-0.0051550246727380955,-0.021416954041352465
outside_community_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.3861050011150451,0.3217938755515177,1.4157977533331256,0.3915625993462235,0.3260693048040981,1.4352638083006433,-0.005457598231178418,-0.004275429252580398,-0.019466054967517632
residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,60,0.4763628524399559,0.4342772750895379,1.8212802550589875,0.4816894902759842,0.438761166849889,1.840901314251746,-0.00532663783602827,-0.0044838917603510775,-0.019621059192758583
residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,120,0.34156710635577525,0.29618516931445354,1.2755045513404575,0.3470301876736777,0.2996675605808234,1.2933954965090022,-0.005463081317902463,-0.003482391266369844,-0.017890945168544725
residual_degree_percentile,FULL_CHARACTERISTIC_NEUTRAL,252,0.24802548435168298,0.20865277854630992,0.9133565257959858,0.2533099503292417,0.2119130517521504,0.9304460041627844,-0.005284465977558717,-0.0032602732058404638,-0.01708947836679864
